name,url,remote_testing,adaptive_irt,test_types,solution_type,test_types_expanded,description,duration,languages,job_levels,assessment_length,downloads,name_verification
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Yes,No,"B, C",Pre-packaged Job Solutions,,The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates.,Not specified,"Chinese Simplified, English (USA), French, German, English International, Italian, Japanese, Latin American Spanish, Polish, Russian, Swedish, Dutch, Portuguese (Brazil),","Graduate,",Approximate Completion Time in minutes = 19,"[{'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%207.1%20sample%20interview%20report.pdf', 'language': 'English International'}, {'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Graduate%207.0%20Fact%20Sheet_USE.pdf', 'language': 'English International'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_INT.pdf', 'language': 'English International'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_INT.pdf', 'language': 'English International'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_LAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_LAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_LAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport%20CHS.pdf', 'language': 'Chinese Simplified'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport%20CHS.pdf', 'language': 'Chinese Simplified'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport%20CHS.pdf', 'language': 'Chinese Simplified'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_JAP.pdf', 'language': 'Japanese'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_JAP.pdf', 'language': 'Japanese'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_JAP.pdf', 'language': 'Japanese'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_NED.pdf', 'language': 'Dutch'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_NED.pdf', 'language': 'Dutch'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_NED.pdf', 'language': 'Dutch'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_FRA.pdf', 'language': 'French'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_FRA.pdf', 'language': 'French'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_FRA.pdf', 'language': 'French'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport%20DEU.pdf', 'language': 'German'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport%20DEU.pdf', 'language': 'German'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport%20DEU.pdf', 'language': 'German'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_ITA.pdf', 'language': 'Italian'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_ITA.pdf', 'language': 'Italian'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_ITA.pdf', 'language': 'Italian'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_POL.pdf', 'language': 'Polish'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_POL.pdf', 'language': 'Polish'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_POL.pdf', 'language': 'Polish'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_RUS.pdf', 'language': 'Russian'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_RUS.pdf', 'language': 'Russian'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_RUS.pdf', 'language': 'Russian'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_SVE.pdf', 'language': 'Swedish'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_SVE.pdf', 'language': 'Swedish'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_SVE.pdf', 'language': 'Swedish'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport%20BRA.pdf', 'language': 'Portuguese (Brazil)'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport%20BRA.pdf', 'language': 'Portuguese (Brazil)'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport%20BRA.pdf', 'language': 'Portuguese (Brazil)'}]",Graduate 7.1 Job Focused Assessment
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes,No,"P, B",Pre-packaged Job Solutions,,"The Graduate 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed. It also provides actionable feedback to help you onboard new hires.
It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution.",20 minutes,"English (USA), English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Finnish, Norwegian, Danish, Chinese Traditional, Turkish, Romanian, Japanese, Latin American Spanish, Indonesian, Portuguese (Brazil), Arabic, Polish,","Graduate,",Approximate Completion Time in minutes = 20 minutes,"[{'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20Candidate%20Report%20UKE%20-%20High%20(1).pdf', 'language': 'English International'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/UKE_Graduate_8.0_Detailed_Report.pdf', 'language': 'English International'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/UKE_Graduate_8.0_Interview_Report.pdf', 'language': 'English International'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/ELA_Graduate_8.0_Candidate_Report.pdf', 'language': 'Latin American Spanish'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/ELA_Graduate_8.0_Detailed_Report.pdf', 'language': 'Latin American Spanish'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/ELA_Graduate_8.0_Interview_Report.pdf', 'language': 'Latin American Spanish'}, {'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Graduate_8.0_FactSheet(USE).pdf', 'language': 'English (USA)'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20Candidate%20Report%20-%20High%20(1).pdf', 'language': 'English (USA)'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/USE_Graduate_8.0_Detailed_Report.pdf', 'language': 'English (USA)'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/USE_Graduate_8.0_Interview_Report.pdf', 'language': 'English (USA)'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate8.0%20CandidateReport%20ARB.pdf', 'language': 'Arabic'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate8.0%20DetailedReport%20ARB.pdf', 'language': 'Arabic'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate8.0%20InterviewReport%20ARB.pdf', 'language': 'Arabic'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0CandidateReport_CHT_1095528.pdf', 'language': 'Chinese Traditional'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0DetailedReport_CHT_1095528.pdf', 'language': 'Chinese Traditional'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0InterviewReport_CHT_1095528.pdf', 'language': 'Chinese Traditional'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate%20Report%20-%20%20Graduate%208%20CHS.pdf', 'language': 'Chinese Simplified'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed%20Report%20-%20%20Graduate%208%20CHS.pdf', 'language': 'Chinese Simplified'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview%20Report%20-%20Graduate%208%20CHS.pdf', 'language': 'Chinese Simplified'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0CandidateReport_Danish1095528.pdf', 'language': 'Danish'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0DetailedReport_Danish1095528.pdf', 'language': 'Danish'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0InterviewReport_Danish1095528.pdf', 'language': 'Danish'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate.02.02@shl.com_Graduate8.0CandidateReport_13140811.pdf', 'language': 'Dutch'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate.02.02@shl.com_Graduate8.0DetailedReport_13140811.pdf', 'language': 'Dutch'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate.02.02@shl.com_Graduate8.0InterviewReport_13140811.pdf', 'language': 'Dutch'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Finnish_Graduate8.0CandidateReport_13140811.pdf', 'language': 'Finnish'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Finnish_Graduate8.0DetailedReport_13140811.pdf', 'language': 'Finnish'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Finnish_Graduate8.0InterviewReport_13140811.pdf', 'language': 'Finnish'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate%20Report%20-%20Graduate%208%20FRA.pdf', 'language': 'French'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed%20Report%20-%20Graduate%208%20FRA.pdf', 'language': 'French'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview%20Report%20-%20Graduate%208%20FRA.pdf', 'language': 'French'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/German_Graduate_8.0_Candidate_Report.pdf', 'language': 'German'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/German_Graduate_8.0_Detailed_Report.pdf', 'language': 'German'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/German_Graduate_8.0_Interview_Report.pdf', 'language': 'German'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20%20Candidate.pdf', 'language': 'Italian'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20%20Detailed.pdf', 'language': 'Italian'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20Interview.pdf', 'language': 'Italian'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate8.0_NOR_Candidate_Report.pdf', 'language': 'Norwegian'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate8.0_NOR_Detailed_Report.pdf', 'language': 'Norwegian'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate8.0_NOR_Interview_Report.pdf', 'language': 'Norwegian'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20Interview%20Report%20Romanian.pdf', 'language': 'Romanian'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20Detailed%20Report%20Romanian.pdf', 'language': 'Romanian'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20Candidate%20Report%20Romanian.pdf', 'language': 'Romanian'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate8.0_Swedish_CandidateReport.pdf', 'language': 'Swedish'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate8.0_Swedish_DetailedReport.pdf', 'language': 'Swedish'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate8.0_Swedish_InterviewReport.pdf', 'language': 'Swedish'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20Detailed%20Report%20Turkish.pdf', 'language': 'Turkish'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20Candidate%20Report%20Turkish.pdf', 'language': 'Turkish'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%208.0%20Interview%20Report%20Turkish.pdf', 'language': 'Turkish'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%208.0_Candidate%20Report_PTBR.pdf', 'language': 'Portuguese (Brazil)'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%208.0_Detailed%20Report_PTBR.pdf', 'language': 'Portuguese (Brazil)'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%208.0_Interview%20Report_PTBR.pdf', 'language': 'Portuguese (Brazil)'}]",Graduate 8.0 Job Focused Assessment
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,Yes,No,B,Pre-packaged Job Solutions,,"Our Guest Service Team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. The solution covers a wide variety of positions, and assesses competencies critical to interacting with customers including: persisting to meet guest needs; behaving responsibly and appropriately; effectively working alongside others; preparing and/or delivering customer orders; following rules and policies; and communicating effectively. Potential job titles that use this solution include: Server, Hostess, Guest Services Team Member, Customer Service Champion.
Report Language Availability: English (USA), Latin American Spanish.",Not specified,"French (Canada), Latin American Spanish, English (USA), English International,","Entry-Level,",Approximate Completion Time in minutes = 18,"[{'title': 'Sample Report - Detailed', 'url': 'https://service.shl.com/docs/Guest%20Service%20Team%20Candidate%20Detailed%20Report%20NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report - Development', 'url': 'https://service.shl.com/docs/Guest%20Service%20Team%20Candidate%20Development%20Report%20NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report - Interview', 'url': 'https://service.shl.com/docs/Guest%20Service%20Team%20Candidate%20Interview%20Report%20NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report - Development', 'url': 'https://service.shl.com/docs/Guest%20Service%20Team%207.0%20-%20Sample%20DevelopmentReport.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report – Interview', 'url': 'https://service.shl.com/docs/Guest%20Service%20Team%207.0%20-%20Sample%20Interview%20Report.pdf', 'language': 'English (USA)'}, {'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/7.0GuestServiceTeam_FactSheet(USE)v2.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report - Detailed', 'url': 'https://service.shl.com/docs/Guest%20Service%20Team%20-%20Sample%20Detailed%20Report.pdf', 'language': 'English (USA)'}]",Guest Service Team 7.0 Solution
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,Yes,Yes,"A, B, P, S",Pre-packaged Job Solutions,,"The Guest Services Associate solution is designed for entry to mid-level customer service positions in the hospitality industry. The solution is for highly customer service focused positions with few to no sales components. Sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommentations to guests, arranging transportation for guests, and making reservations. Potential job titles that use this solution are: Concierge, Guest Services Agent, Club Concierge, Hotel Concierge, Front Office Manager and Guest Services Associate. Multiple configurations of this solution are available.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 48,"[{'title': 'Fact Sheet Hospitality Suite Guest Services Associate One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Hospitality%20Suite%20Guest%20Services%20Associate%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Guest Services Associate Solution
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,Yes,No,B,Pre-packaged Job Solutions,,"Our Healthcare Aide 7.0 solution is designed for individually-oriented, entry-level positions that directly support another person's health and well-being. The solution covers a wide variety of positions, and assesses behaviors critical for patient support roles including: understanding and following detailed instructions; administering personal care; being respectful and tolerant of patients; preparing and maintaining records of patient progress and services performed; and working hard to meet or exceed patient needs. Potential job titles that use this solution include: Personal Care Aide, Healthcare Aide, Home Health Aide, Dental Assistant.
Report Language Availability: English (USA), Latin American Spanish.",Not specified,"English (USA), French (Canada), Latin American Spanish,","Entry-Level,",Approximate Completion Time in minutes = 22,"[{'title': 'Sample Report - Interview', 'url': 'https://service.shl.com/docs/Healthcare%20Aide%20Candidate%20Interview%20Report%20NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report - Development', 'url': 'https://service.shl.com/docs/Healthcare%20Aide%20Candidate%20Development%20Report%20NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report - Detailed', 'url': 'https://service.shl.com/docs/Healthcare%20Aide%20Candidate%20Detailed%20Report%20NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Sample Report - Detailed', 'url': 'https://service.shl.com/docs/Healthcare%20Aide%207.0%20Detailed%20Report.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report - Development', 'url': 'https://service.shl.com/docs/Healthcare%20Aide%207.0%20Development%20Report.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report – Interview', 'url': 'https://service.shl.com/docs/Healthcare%20Aide%207.0%20Interview%20Report.pdf', 'language': 'English (USA)'}, {'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/7.0HealthcareAide_FactSheet(USE)v2.pdf', 'language': 'English (USA)'}]",Healthcare Aide 7.0 Solution
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,Yes,Yes,"A, B, P, S",Pre-packaged Job Solutions,,"The Healthcare Call Center Agent solution is for entry-level positions in an inbound healthcare call center environment. Sample tasks for this job include, but are not limited to: taking and receiving information from patients over the phone, working between computer screens, and entering information into a computer. Potential job titles that use this solution are: Call Center Representative, Receptionist, and Switchboard Operator. Multiple configurations of this solution are available.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 44,"[{'title': 'Fact Sheet Healthcare Call Center Agent One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Healthcare%20Call%20Center%20Agent%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Healthcare Call Center Agent Solution
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,Yes,Yes,"A, B, P",Pre-packaged Job Solutions,,"The Healthcare Service Associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients. Sample tasks for this job include, but are not limited to: delivering food to patients, cleaning patient rooms, and welcoming guests to the hospital. Potential job titles that use this solution are: Housekeepers, Dietary Aides, and Guest Services Coordinator. There are multiple configurations and versions of this solution available.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 37,"[{'title': 'Fact Sheet Healthcare Service Associate One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Healthcare%20Service%20Associate%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Healthcare Service Associate Solution
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,Yes,Yes,"A, B, P",Pre-packaged Job Solutions,,"The Healthcare Support Specialist solution is for entry-level positions in a healthcare environment that do not require the employee to interact with patients. Sample tasks for this job include, but are not limited to: preparing food for patients, washing hospital linens, and cleaning the healthcare facility. Potential job titles that use this solution are: Janitors, Food Preparation Workers, and Laundry Associates. Multiple configurations of this solution are available.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 30,"[{'title': 'Fact Sheet Healthcare Support Specialist One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Healthcare%20Support%20Specialist%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Healthcare Support Specialist Solution
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,Yes,Yes,"A, B, P",Pre-packaged Job Solutions,,"The Home Health Aide solution is for entry-level positions in an in-home or group home environment. Sample tasks for this job include, but are not limited to: monitoring vital signs and medication intake, administering bedside and personal care such as ambulation and personal hygiene, and preparing and maintaining records of patient progress and services performed. Potential job titles that use this solution are: Personal Care Aide, Home Health Aide, Residential Assistant, and Certified Nursing Assistant. There are multiple configurations and versions of this solution available.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 41,"[{'title': 'Fact Sheet Home Health Aide One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Home%20Health%20Aide%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Home Health Aide Solution
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,Yes,Yes,"A, B, K, P",Pre-packaged Job Solutions,,"The Hospitality Manager solution is designed for management level positions in the hospitality industry. Sample tasks include overall property management, managing staff and managing the guest experience. The solution is focused on managing business operations, managing staff, solving problems, making good decisions and maintaining focus on the customer. Potential job titles that use this solution are: Property Manager, Property Director, Hotel Manager and Hospitality Manager. Multiple configurations of this solution are available.",Not specified,"English (USA),","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 57,"[{'title': 'Fact Sheet Hospitality Suite Hospitality Manager One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Hospitality%20Suite%20Hospitality%20Manager%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Hospitality Manager Solution
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,Yes,Yes,"B, P",Pre-packaged Job Solutions,,"The Host solution is designed for entry level positions in the hospitality industry. Sample tasks include greeting guests, managing wait lists and showing guests to their tables. The solution is focused on work ethic and customer focus. Potential job titles that use this solution are: Host, Hostess and Greeter. There are multiple configurations and versions of this solution available.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 30,"[{'title': 'Fact Sheet Hospitality Suite Host One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Hospitality%20Suite%20Host%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Host Solution
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,Yes,No,B,Pre-packaged Job Solutions,,"Our Industrial – Entry Level 7.0 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
Report Language Availability: English (USA), Latin American Spanish.",Not specified,"French (Canada), English (USA), English International, Latin American Spanish,","Entry-Level,",Approximate Completion Time in minutes = 20,"[{'title': 'Industrial Entry Level Detailed Report', 'url': 'https://service.shl.com/docs/Industrial%20Entry%20Level%20Candidate%20Detailed%20Report%20NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Industrial Entry Level Development Report', 'url': 'https://service.shl.com/docs/Industrial%20Entry%20Level%20Candidate%20Development%20Report%20NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Industrial Entry Level Interview Report', 'url': 'https://service.shl.com/docs/Industrial%20Entry%20Level%20Candidate%20Interview%20Report%20NAS.pdf', 'language': 'Latin American Spanish'}, {'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/7.0Industrial_EntryLevel_FactSheet(USE)v2.pdf', 'language': 'English (USA)'}, {'title': 'Industrial Entry Level Detailed Report', 'url': 'https://service.shl.com/docs/Industrial_EntryLevel_DetailedReport.pdf', 'language': 'English (USA)'}, {'title': 'Industrial Entry Level Development Report', 'url': 'https://service.shl.com/docs/Industrial_EntryLevel_DevelopmentReport.pdf', 'language': 'English (USA)'}, {'title': 'Industrial Entry Level Interview Report', 'url': 'https://service.shl.com/docs/Industrial_EntryLevel_InterviewReport.pdf', 'language': 'English (USA)'}]",Industrial - Entry Level 7.0 Solution
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,Yes,No,B,Pre-packaged Job Solutions,,"Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",Not specified,"English (USA), French (Canada), Portuguese (Brazil), Latin American Spanish,","Entry-Level,",Approximate Completion Time in minutes = 20,"[{'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_CandidateReport_CFR.pdf', 'language': 'French (Canada)'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_DetailedReport_CFR.pdf', 'language': 'French (Canada)'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_InterviewReport_CFR.pdf', 'language': 'French (Canada)'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_CandidateReport_ELA.pdf', 'language': 'Latin American Spanish'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_DetailedReport_ELA.pdf', 'language': 'Latin American Spanish'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_InterviewReport_ELA.pdf', 'language': 'Latin American Spanish'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_CandidateReport_USE.pdf', 'language': 'English (USA)'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_DetailedReport_USE.pdf', 'language': 'English (USA)'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_InterviewReport_USE.pdf', 'language': 'English (USA)'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_CandidateReport_BRA.pdf', 'language': 'Portuguese (Brazil)'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_DetailedReport_BRA.pdf', 'language': 'Portuguese (Brazil)'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Industrial-EntryLevel7.1_Americas_InterviewReport_BRA.pdf', 'language': 'Portuguese (Brazil)'}]",Industrial - Entry Level 7.1 (Americas)
